댓글 작성자,영상 시간,댓글 내용
XxFrench Panda,1:03,Hi
BritishBars,1:03,OMG I LOVE YOUUUU
Oan Adelina,1:03,hu
Angela Kelley,1:03,Hiiiii
Micody Thomas,1:03,hiii
meshal dance,1:04,hi
Jasmeen Eastman,1:04,heyyy
Gacha Fox,1:04,Sssniperwolf your thw best youtuber ❤️❤️❤️
Damacio Sinka,1:04,hi
Ramen lover,1:05,every one is sleeping in our house except me 🤣
Idk NEXO,1:05,Wassup lil mama
HS - 07ZS - Pte Buckam Singh PS (1498),1:06,Omg I was just playing fort rn-
Nickson Chege,1:06,hewo my youtuber:yougotthis:
Leonor Ruiz,1:06,omg I love you
xxDanskU,1:06,hiiiiii
Beatrix Pachnatz,1:07,What’s your favourite skin
Genaro Martinez,1:07,Hello
Taquito Terminator,1:07,HI
Belen Martinez,1:07,Sup
Kane Shawn,1:07,
Emily Cayon,1:07,Hi hi
Emma Snowdennn,1:08,Hi
Nabeela Balala,1:08,"Hi, sniper wolf."
Ajannae Solomon,1:08,hi yall
Brittany benitez,1:08,hi
Soledad Ruiz,1:08,HIIIII
ethan terrero,1:08,Hiiiii
foxy fazbear,1:09,hi
jmpconcrete,1:09,omggggg
Cadence Webb,1:09,Hehe
Alexis Bradley,1:09,So
Meme Central,1:09,Frenchiest fries
sloth gamer girl,1:09,hello
MagLMAO,1:09,Hello
Sasha LMPark,1:09,hi sssniperwolf
Tamara,1:10,hi
Three m Girls,1:10,hiiiiiiiiiii
Nareh Karakossian,1:11,Yoooooooooo
Anabel Aguilera,1:11,i was litrally just playin
darren kerr,1:11,hi
Lalli Diaz-Fowler,1:11,omg i wanted someone to stream so bad
reflex,1:11,Hello lia
Night Birds SSD,1:12,HAHA HI
Sickly Strawberry,1:12,HIIIIIII IM EARLY
Henry Gonzalez,1:12,hi
{Pinkie Gacha},1:12,yes hii
rose 1628,1:12,omg sssniperwolf
Ala Sapaliene,1:12,i love youuuuu
Jisica Mcdonald,1:12,hi
Shimona Mahabir,1:12,hello
Itz Nova & Noah,1:12,Hi
Joann Fernandes,1:13,hi omg
Angie Coco,1:13,LIA I HAVE A FANPAGE 😭❤️❤️❤️
Valerijus Radionovas,1:13,Can I freind you
Gabriel Ruiz,1:13,Hi
Cornell Gibbs,1:13,hi
Isiss Brecker,1:13,Heyyyy
Hayla Pooh,1:13,Hi🖤🖤🖤🖤🖤
Vivian Wozniak,1:13,Hiiiii
SwayOnSwitch,1:13,Please me
Teresia Hagelberger,1:14,fortnite!!
Christian Laguerre,1:14,hi
Diva1004 AJ and MORE,1:14,What sup
TechOps,1:14,hey
Ghada Haridy,1:14,Hi
STLHLOADED,1:14,SHES BACK!!!!!
Dean,1:14,yo
Srijonti Sen,1:14,heyyyyy
Kady Dogg,1:14,Hi
Nklbmd Nopr,1:14,WATS UP
Anthony Darrah,1:14,hi lia
Leigh Dickerson,1:14,Hiii
Makayla Smith,1:15,Heyyyy
Anime_ Chan,1:15,Hi
xianping lin,1:15,What you eating lia
CallieSteinhebel,1:15,HI
Haylee Ellis,1:15,LOVE YOU SNIPERWOLF YOUR MY FAV YOUTUBER
the Paper Plate Family,1:16,Hi
Tia roblox games,1:16,OMG
_ Bree_akr,1:16,I love you lia
Jada Madden,1:16,hi
Matias Gregorio,1:16,YESSS GRL PLAY
Reed Woerner,1:16,Hi hi hi hi
Coolgaming Yt,1:17,Hi lia
ꨄangry Bobaꨄ,1:17,Hi!
Emma Tompkins,1:17,hello!!!
Tonia Price,1:17,:videocall:
april,1:17,HELLO LIA I LOVE YOU :)
Fai�al Ben Arba,1:18,Hellloooo
MB - 07JD - Fallingbrook MS (1547),1:18,SHESS BACKKKK
Fortnite_ Hopster,1:18,Hello
ripjeffypane tv,1:18,SNIPER WOFL I LOVE YOUR VIDS ❤🧡💛💚💙💜
Mila Monster,1:18,hiiiiii
Jasmine Ruiz,1:18,hello
Awesome Glitches,1:18,Hi
OPE_Yerky,1:18,hi
Alana Barnard,1:18,hi
Pure MGI,1:18,Not exactly new 😂
Caden Ali,1:19,yes
AÑIMÉ LØVËR,1:19,BINOD
King Temii,1:19,hi
John Lockhart,1:19,I love uuuuu
Coolmariobros,1:19,It had
PhøenixPxtatoCãts,1:19,LIA I CANT HEARR
Haley Templin,1:19,:yt:
XxLlama._.DancerxX,1:20,YASS
Splushy,1:20,Hii:goodvibes:
Lacie Prince,1:20,Hello
aaden Sandifer,1:20,wsp
Belen Martinez,1:20,Sup buddy
Zezryo,1:20,Merry Christmas XD
Vivian Chang,1:21,hi
F0x that's elemental,1:21,Hi lia😌
Valerie ram,1:21,hi 👋🏻
Melanie Down,1:21,Hey
Starr the Galaxyfox892,1:21,hi sniper!
XxxxSunflowerBeexxX :D,1:21,Hi girlie
Denise Hooijer,1:21,wassup say denise plsssssss
Eeember Thompson,1:21,Omg I love you
Ezio Salimbeni,1:21,hey
Jaxson plays 567,1:21,Ya as
Scooby randumb,1:21,Can I Join you please
Jamison Pigg,1:21,Hiiiii
Brooke Clarke,1:21,Hi
FalconWolf134,1:22,can I play with you
Sunset Mimi!,1:22,yoooyoooo
Winona Forever,1:22,Hey sssniper
Ali Sadique,1:22,Hello sniperwolf
Anne-Marie Schunk,1:22,h9
Michael Cruz,1:22,Love your videos
Themisterysinger,1:22,omg my first Wolfpack love stream
lilyatron epic gaming,1:22,hiiiiiiii sssniperwolf
Demon Beast20,1:23,hi
Bella Slime,1:23,HIIIIII
Carly Moyer,1:23,hi
Aquarius Shine,1:23,how are you
Ali Hossain,1:23,:thanksdoc::sanitizer:
Ieshia Williams,1:23,omgggg
Esmeralda Pierre,1:23,YUS
Moonshine,1:23,신규 회원
Cookie_lover_,1:24,The sky
Andres Sandoval,1:24,Is that sssniperwolf
GOLDENHEART 16,1:25,hi sisters
Rannbir SK,1:25,Wadupppp
Jad Elhachem,1:25,omg it's been a while
HDDILLS Phillips,1:25,It’s not live
SherrodAggyazz,1:25,BEST GAMER GIRL
Burnt Toast,1:25,Hi Sssniper
Tathai Roy Class-8F,1:26,you can't pronounce my name
Randy Smith,1:26,hello
steven griffiths,1:26,live your Chanel
Jesslyn Avelina,1:26,hiiiiiiii
Ashley,1:26,HEY I LOVE U SO MUCH
Clementine forever,1:27,sniffer WOLF HI
ShamaLamaDingDong,1:27,Hiiiii
Saanvi Shetty,1:27,FINALLY
Alayja Thornton,1:27,big fan
iiarabella xglor,1:27,hiii
The Gaming Bro’s,1:27,Hiii
GussBu5,1:28,I love u sniperwolf
Taylor Rubens,1:28,A REALLY LONG TIME
sadie mags,1:28,I MISS UUUUILY
Aicelle Chloe,1:28,hi there
Tania K,1:28,FINALLY
ValShxn,1:28,Hi
XxGrumpyXxDragon :3,1:28,OMG I LOVE YPU SSSNIPERWOLF
Súñfløwèr lìfè,1:28,hiiiiiiiiii
Pavan G K,1:28,Hiiiiiiiiiiiiii
welcome to zmml gang,1:28,I luv ur vids
Sagan Rohrer,1:28,OMG I’ve never seen you live!
