댓글 작성자,영상 시간,댓글 내용
지은.,2:37,진짜 미첫다........
돼지,2:37,? 와 ㄷㄷ
박원빈,2:37,8사단공병대대 손
김덕호,2:37,와
은승연,2:43,와
노민영,2:44,라온앓이인데 아는정보없어요ㅜ
얍얍,2:45,와미친 지금들왔다
안녕하세요!,2:45,와
강민경,2:45,라온오빠사랑해요
혜진,2:46,하...
geumjayoung zi,2:47,진모오빠♡♡
지은.,2:52,이라온님 ㅠ 진짜 ㅠ존잘이에오ㅠ
은승연,2:52,오ㅓ
은승연,2:55,와
김영찬,2:56,가자
seok E,2:58,간다
리치젤리,3:00,나온다
이후삼,3:00,내 팬티 라이온팬티인데 줄줄울어대네 이녀석이
geumjayoung zi,3:03,와ㅠㅠㅠㅠ
은승연,3:03,헐
전승준,3:05,크...
준성,3:05,와
박정임,3:06,모두들 사랑해요
김영찬,3:07,가즈아
오경민,3:07,가자아ㅏ
리치젤리,3:09,와
geumjayoung zi,3:09,와ㅠㅠㅠ
reebo Ha,3:10,와
최승환,3:11,와..
혜진,3:11,ㄷㄷ
자포자기,3:12,와
이재윤,3:13,와미친
이상목,3:13,소름돋누...
아우내,3:16,소름이다
잠만보,3:16,마크툽님 목소리 멈 조아여❤❤❤
SY J,3:18,와
박정임,3:18,오쫀데ㅜㅜ
방지훈,3:18,미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
박머원,3:18,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 와 개대박이다
피자마루피클도둑,3:18,천사 강립
김윱늅,3:18,개지린다
wisdomly,3:19,끝음 누구에여 허러러러러러
Mind R,3:19,와 미친
유키,3:20,와 나 방금 진짜 소름 돋았어
지은.,3:22,진짜 이노래 아카펠라 해주시면 진짜 개쩔듯
꿀무룩,3:22,소름돋아
oi k,3:23,와 말도안돼
김진기,3:23,와
은승연,3:23,"와 진모오빠 진짜 제발....,"
김윱늅,3:23,쌋다
김성태,3:23,ㅁㅊ
reebo Ha,3:24,와;;쌌다
안졸리냐 졸려,3:24,오빠 진짜ㅠㅠㅠㅠㅠㅠ와ㅠㅠㅠㅜㅜ진모 오빠 ㅠㅠㅠㅠㅠㅠ
박머원,3:25,와 개소름
리치젤리,3:26,와
ga ga,3:26,라온쌤 잘생겻다!!
H J,3:26,미쳤다
Mind R,3:26,개소름
김진기,3:26,소름 존나 돋아
최승환,3:27,빛난자..
uk_1246,3:27,이 구성 누가 짰냐
우효주,3:30,소름..... 미쳤어..
김덕호,3:30,어ㅣ
김영찬,3:30,와
geumjayoung zi,3:31,와 영은님 웃는거 대박이네♡
JI ji,3:31,어후 눈물ㅇ
구리는Cu,3:32,우와... 소름돋는다..
SY J,3:33,앨범 안나옴?
전승준,3:33,와
에온,3:34,헐...
팬아인,3:34,빛 타이밍 뭐야 ㅋㅋㅋ
박정임,3:35,옴마~~♡♡♡♡
클래식환,3:36,와
JI ji,3:37,눈물이나네
wisdomly,3:37,어쩜 이리 편하게 부르시는지
sparta kooks,3:38,와...
노민영,3:38,이라온♡♡♡♡♡♡♡♡♡
김민용,3:38,와 진짜 욕나올정도네..
아조씨,3:38,와 이건 진짜 미쳤다..
이감자,3:38,라온님 사랑해요
전승준,3:39,ㅁㅊ
오민준,3:39,ㄷㄷ
박예원,3:40,너무잘한다
박머원,3:40,와 ㅋㅋㅋㅋㅋㅋ
꿀무룩,3:40,팬티갈아입어야겠다
reebo Ha,3:41,와
김영찬,3:41,와
geumjayoung zi,3:42,아ㅠㅠ 눈물나ㅠ
리치젤리,3:42,오ㅏ
박심바,3:42,와.....
은승연,3:43,와
돼지,3:43,오케이 팬티 5장 버렸고
*예라*,3:43,와우...!
팬아인,3:43,오늘도 어김없이 승천한다
오민준,3:44,미쳤다 ㅋㅋㅋㅋㅋ
자포자기,3:44,와..
에온,3:44,소름돋는다...!!!
김진기,3:44,와 미친
박심바,3:46,소름 도른자네...
동건,3:46,ㅁㅊ
이재윤,3:47,영은이누나 지리네
또아,3:47,dhk
도야의창고,3:47,이걸 실시간으로 보다니 ㅎㄷㄷ
geumjayoung zi,3:47,사랑해요 ㅠㅠ
준성,3:47,와 개미친 ㅋㅋㅋㅋㅋㅋ
김덕호,3:47,와ㅏ아ㅏ아아ㅏ
아우내,3:47,기다린 보람이 있구만
또아,3:48,zzzzzzzzzzzzzzzzzzzzzzzzzzzz
4832 10392,3:49,와
조준형,3:49,미쳤다....
진영주,3:49,쩐당
춘장,3:50,레게노
김진기,3:50,클라이맥스 도랏나
또아,3:50,대박이다
은승연,3:51,"아 진모오빠 진짜 제발......,..."
리치젤리,3:51,오ㅓ
reebo Ha,3:52,정영은 돌고래 초음파 미쳤디
땅민,3:52,으아아ㅏ
또아,3:52,소름이다 진짜
오민준,3:53,와앙아아아아아아
이혜림,3:53,진짜 감동이예요 ㅠㅠ
Hutio,3:54,ㄷㄷ...
한군,3:54,씻으면서 들어서 다행이다;;
박정임,3:54,다섯분..이러심 꿈에도 보이겠어요♡♡♡
피자마루피클도둑,3:54,역대급이다 진짜
김윱늅,3:54,쌋다
김익한,3:54,뭐야 이거 지금
김상우,3:54,갓갓갓
seok E,3:55,와.....
리치젤리,3:55,와
ga ga,3:56,~_~
yu소현,3:57,마크툽 짱~~^^
권혁중,3:57,와 진짜 이거 지렸다
오경민,3:57,끝판왕이다..
지은.,3:57,아 마크툽 ㅠ 이라온 지짜 ㅠㅠ
율이,3:58,화음미치네
박머원,3:58,와
이건,3:58,상근이형-!!!!!!!!믿고있었다고~
임상원,3:59,혹시 저만 눈물나나요
콩맨,3:59,미친다...
김영찬,4:00,미쳤네
김상우,4:00,감동이다.
wisdomly,4:02,아 너무 좋아 ㅠㅠㅠㅠㅠㅠ끝나지마
리치젤리,4:03,어벤져스 어셈블 ㄷㄷㄷㄷ
권혁중,4:03,와 개소름돋아
돼지,4:04,흑 내 팬티값
딸기,4:05,와...
Rai,4:06,세상에
유현근,4:06,와 팬티랑 윗도리 다젖었다
박정임,4:06,굿아이디어
Ss Lee,4:06,손떨려....
알로에주쑤,4:07,ㅠㅠㅠㅠㅠㅠㅠㅠ
김태양,4:08,이걸 실시간으로보네..ㄷㄷ
남현우,4:08,와
자포자기,4:08,와 소름 ;
wisdomly,4:09,무한재생각이네요
이재호,4:09,와 지렸다
스마일군,4:10,미친
알로에주쑤,4:11,진짜 쌋다
김도영,4:12,미쳤다...
은승연,4:13,와 미쳤다 진짜
강소연,4:13,와ㅠ♡
이멍멍이포도,4:13,소오름 ㅠㅠㅠㅠ
오민준,4:13,쌌당 ㅎㅎㅎ
geumjayoung zi,4:13,아ㅠㅠㅠ 미쳣어ㅠㅠㅠ
콩맨,4:15,진짜 튭형 빛 와...
손창호,4:15,진짜기다린보람있다
방보람,4:15,아.....ㅜㅜㅜㅜㅜ
reebo Ha,4:16,한번더
호양지양,4:16,ㄷㄷ
춘장,4:16,레게노네
꿀무룩,4:17,미쳤어 진짜 ㅠㅠㅠ
잠만보,4:17,여자분 목소리 좋으신데 적게 나오네요ㅠㅠ
얍얍,4:19,와미친다
reebo Ha,4:20,앵콜 앵콜
손창호,4:20,너무소름인데
권혁중,4:20,진짜 눈물난다..
Mind R,4:20,이건 레전드애
김태양,4:20,짱이다
한군,4:21,허.....
피자마루피클도둑,4:22,수고하셨습니다 ㅎㄷㄷㄷㄷㄷ
준성,4:23,와 ㅋㅋㅋㅋㅋㅋ
15번엄재영,4:23,미쳤다...
geumjayoung zi,4:24,영은님 ㅠㅠ
밤양갱,4:24,와
땅민,4:25,와..
김진기,4:25,"와 ,,"
아우내,4:26,굿
박심바,4:27,좋은 곡을 최고의 가수들로 불러주셔서 감사합니다😊😊😊
